index,amount of compares,size of array
638,203841,639
639,204480,640
640,205120,641
641,205761,642
642,206403,643
643,207046,644
644,207690,645
645,208335,646
646,208981,647
647,209628,648
648,210276,649
649,210925,650
650,211575,651
651,212226,652
652,212878,653
653,213531,654
654,214185,655
655,214840,656
656,215496,657
657,216153,658
658,216811,659
659,217470,660
660,218130,661
661,218791,662
662,219453,663
663,220116,664
664,220780,665
665,221445,666
666,222111,667
667,222778,668
668,223446,669
669,224115,670
670,224785,671
671,225456,672
672,226128,673
673,226801,674
674,227475,675
675,228150,676
676,228826,677
677,229503,678
678,230181,679
679,230860,680
680,231540,681
681,232221,682
682,232903,683
683,233586,684
684,234270,685
685,234955,686
686,235641,687
687,236328,688
688,237016,689
689,237705,690
690,238395,691
691,239086,692
692,239778,693
693,240471,694
694,241165,695
695,241860,696
696,242556,697
697,243253,698
698,243951,699
699,244650,700
700,245350,701
701,246051,702
702,246753,703
703,247456,704
704,248160,705
705,248865,706
706,249571,707
707,250278,708
708,250986,709
709,251695,710
710,252405,711
711,253116,712
712,253828,713
713,254541,714
714,255255,715
715,255970,716
716,256686,717
717,257403,718
718,258121,719
719,258840,720
720,259560,721
721,260281,722
722,261003,723
723,261726,724
724,262450,725
725,263175,726
726,263901,727
727,264628,728
728,265356,729
729,266085,730
730,266815,731
731,267546,732
732,268278,733
733,269011,734
734,269745,735
735,270480,736
736,271216,737
737,271953,738
738,272691,739
739,273430,740
740,274170,741
741,274911,742
742,275653,743
743,276396,744
744,277140,745
745,277885,746
746,278631,747
747,279378,748
748,280126,749
749,280875,750
750,281625,751
751,282376,752
752,283128,753
753,283881,754
754,284635,755
755,285390,756
756,286146,757
757,286903,758
758,287661,759
759,288420,760
760,289180,761
761,289941,762
762,290703,763
763,291466,764
764,292230,765
765,292995,766
766,293761,767
767,294528,768
768,295296,769
769,296065,770
770,296835,771
771,297606,772
772,298378,773
773,299151,774
774,299925,775
775,300700,776
776,301476,777
777,302253,778
778,303031,779
779,303810,780
780,304590,781
781,305371,782
782,306153,783
783,306936,784
784,307720,785
785,308505,786
786,309291,787
787,310078,788
788,310866,789
789,311655,790
790,312445,791
791,313236,792
792,314028,793
793,314821,794
794,315615,795
795,316410,796
796,317206,797
797,318003,798
798,318801,799
799,319600,800
800,320400,801
801,321201,802
802,322003,803
803,322806,804
804,323610,805
805,324415,806
806,325221,807
807,326028,808
808,326836,809
809,327645,810
810,328455,811
811,329266,812
812,330078,813
813,330891,814
814,331705,815
815,332520,816
816,333336,817
817,334153,818
818,334971,819
819,335790,820
820,336610,821
821,337431,822
822,338253,823
823,339076,824
824,339900,825
825,340725,826
826,341551,827
827,342378,828
828,343206,829
829,344035,830
830,344865,831
831,345696,832
832,346528,833
833,347361,834
834,348195,835
835,349030,836
836,349866,837
837,350703,838
838,351541,839
839,352380,840
840,353220,841
841,354061,842
842,354903,843
843,355746,844
844,356590,845
845,357435,846
846,358281,847
847,359128,848
848,359976,849
849,360825,850
850,361675,851
851,362526,852
852,363378,853
853,364231,854
854,365085,855
855,365940,856
856,366796,857
857,367653,858
858,368511,859
859,369370,860
860,370230,861
861,371091,862
862,371953,863
863,372816,864
864,373680,865
865,374545,866
866,375411,867
867,376278,868
868,377146,869
869,378015,870
870,378885,871
871,379756,872
872,380628,873
873,381501,874
874,382375,875
875,383250,876
876,384126,877
877,385003,878
878,385881,879
879,386760,880
880,387640,881
881,388521,882
882,389403,883
883,390286,884
884,391170,885
885,392055,886
886,392941,887
887,393828,888
