index,amount of compares,size of array
692,120207,693
693,120493,694
694,119391,695
695,117392,696
696,119750,697
697,119718,698
698,127657,699
699,120026,700
700,122096,701
701,125134,702
702,119869,703
703,124480,704
704,121321,705
705,125943,706
706,124744,707
707,128035,708
708,125098,709
709,127801,710
710,128598,711
711,121117,712
712,121151,713
713,126717,714
714,124229,715
715,125575,716
716,125635,717
717,133288,718
718,131787,719
719,127933,720
720,130093,721
721,131795,722
722,129209,723
723,129392,724
724,136581,725
725,128636,726
726,132597,727
727,133553,728
728,137994,729
729,131016,730
730,135778,731
731,135243,732
732,129969,733
733,134687,734
734,143050,735
735,136826,736
736,130896,737
737,139415,738
738,138236,739
739,136316,740
740,143595,741
741,140970,742
742,137257,743
743,138470,744
744,140269,745
745,139055,746
746,137439,747
747,133860,748
748,140106,749
749,141547,750
750,136582,751
751,137884,752
752,144753,753
753,145770,754
754,143806,755
755,141336,756
756,141330,757
757,143580,758
758,144966,759
759,152476,760
760,144902,761
761,149663,762
762,143088,763
763,150708,764
764,149375,765
765,145385,766
766,145737,767
767,145236,768
768,145261,769
769,143769,770
770,150447,771
771,148894,772
772,149161,773
773,149047,774
774,151254,775
775,150312,776
776,149178,777
777,151051,778
778,150095,779
779,146924,780
780,147357,781
781,149694,782
782,147501,783
783,151997,784
784,151455,785
785,156345,786
786,148649,787
787,153653,788
788,155514,789
789,156950,790
790,159962,791
791,152959,792
792,151079,793
793,161806,794
794,160937,795
795,162076,796
796,157029,797
797,158287,798
798,159124,799
799,155070,800
800,157149,801
801,165292,802
802,160815,803
803,159465,804
804,163931,805
805,162424,806
806,160176,807
807,161795,808
808,150401,809
809,163840,810
810,163985,811
811,163508,812
812,163778,813
813,170760,814
814,160891,815
815,162672,816
816,160737,817
817,164570,818
818,161453,819
819,170598,820
820,167304,821
821,171171,822
822,170999,823
823,167560,824
824,170240,825
825,178882,826
826,168164,827
827,170091,828
828,170347,829
829,174026,830
830,168607,831
831,173160,832
832,176424,833
833,178657,834
834,172410,835
835,173865,836
836,176219,837
837,176990,838
838,176545,839
839,169509,840
840,176748,841
841,177983,842
842,172529,843
843,176870,844
844,183347,845
845,172259,846
846,184006,847
847,181707,848
848,180661,849
849,182809,850
850,186004,851
851,178284,852
852,182513,853
853,194503,854
854,177087,855
855,178916,856
856,182805,857
857,188830,858
858,184508,859
859,187554,860
860,182714,861
861,189415,862
862,175791,863
863,191874,864
864,185340,865
865,192958,866
866,187684,867
867,187857,868
868,186974,869
869,184990,870
870,182211,871
871,193411,872
872,195330,873
873,192203,874
874,199737,875
875,195465,876
876,186527,877
877,194932,878
878,188535,879
879,194122,880
880,193310,881
881,198059,882
882,189091,883
883,195998,884
884,191595,885
885,198047,886
886,198655,887
887,197860,888
888,202373,889
889,211314,890
890,194041,891
891,200109,892
892,206558,893
893,201186,894
894,197688,895
895,201120,896
896,196119,897
897,197779,898
898,197801,899
899,197857,900
900,196012,901
901,206117,902
902,207751,903
903,209958,904
904,211462,905
905,208510,906
906,199840,907
907,193094,908
908,208753,909
909,200161,910
910,197620,911
911,205206,912
912,213251,913
913,199408,914
914,216784,915
915,211319,916
916,208977,917
917,204418,918
918,212462,919
919,212195,920
920,213237,921
921,217168,922
922,213056,923
923,208887,924
924,215827,925
925,216496,926
926,213441,927
927,214368,928
928,213615,929
929,217767,930
930,215940,931
931,221975,932
932,218094,933
933,222899,934
934,219401,935
935,223076,936
936,220453,937
937,218430,938
938,227857,939
939,212957,940
940,221567,941
941,219388,942
942,220612,943
943,228848,944
944,218237,945
945,228972,946
946,228863,947
947,219418,948
948,225849,949
949,223038,950
950,224771,951
951,227921,952
952,228529,953
953,215981,954
954,231082,955
955,232181,956
956,234437,957
957,235854,958
958,230566,959
959,238794,960
960,229645,961
961,237493,962
962,227531,963
963,243073,964
964,239846,965
965,238413,966
966,225041,967
967,233936,968
968,233709,969
969,240017,970
970,235451,971
971,237900,972
972,232985,973
973,247184,974
974,231864,975
975,239689,976
976,242636,977
977,241332,978
978,239920,979
979,238352,980
980,241163,981
981,243782,982
982,237829,983
983,246710,984
984,249548,985
985,242458,986
986,243774,987
987,240184,988
988,247365,989
989,239271,990
990,254629,991
991,238351,992
992,251079,993
993,247476,994
994,248937,995
995,249932,996
996,251995,997
997,255344,998
998,242574,999
999,249781,1000
