index,amount of compares,size of array
972,11077,973
973,11610,974
974,11880,975
975,10702,976
976,11345,977
977,11385,978
978,11834,979
979,11809,980
980,11720,981
981,12524,982
982,12106,983
983,12467,984
984,12220,985
985,11091,986
986,11921,987
987,11834,988
988,13003,989
989,11540,990
990,13494,991
991,11437,992
992,11994,993
993,11607,994
994,13417,995
995,11251,996
996,11654,997
997,11802,998
998,12050,999
999,13465,1000
