index,amount of compares,size of array
821,10434,821
822,9035,822
823,10008,823
824,9878,824
825,9519,825
826,10468,826
827,10074,827
828,9561,828
829,8550,829
830,9602,830
831,9766,831
832,9771,832
833,9526,833
834,9189,834
835,8868,835
836,10372,836
837,10796,837
838,9592,838
839,9891,839
840,9672,840
841,9503,841
842,9781,842
843,10148,843
844,10672,844
845,10900,845
846,9368,846
847,11574,847
848,10248,848
849,9231,849
850,10174,850
851,9647,851
852,10440,852
853,9938,853
854,10335,854
855,10091,855
856,10354,856
857,9829,857
858,10568,858
859,10171,859
860,9588,860
861,10304,861
862,10171,862
863,9408,863
864,10946,864
865,10156,865
866,10984,866
867,10228,867
868,9911,868
869,9554,869
870,10060,870
871,9682,871
872,9958,872
873,10293,873
874,10335,874
875,10426,875
876,10282,876
877,9843,877
878,10615,878
879,10418,879
880,9852,880
881,9730,881
882,10556,882
883,11285,883
884,10897,884
885,10170,885
886,10204,886
887,10297,887
888,9942,888
889,10814,889
890,10158,890
891,10400,891
892,10455,892
893,10580,893
894,11101,894
895,10426,895
896,10446,896
897,10291,897
898,10909,898
899,10801,899
900,11750,900
901,10608,901
902,10135,902
903,10154,903
904,10640,904
905,11552,905
906,9999,906
907,10655,907
908,10019,908
909,10877,909
910,11341,910
911,10018,911
912,10833,912
913,11702,913
914,11940,914
915,10104,915
916,11854,916
917,11161,917
918,11879,918
919,10543,919
920,11278,920
921,11084,921
922,10425,922
923,12032,923
924,10999,924
925,10955,925
926,10936,926
927,11298,927
928,11253,928
929,11037,929
930,10739,930
931,11539,931
932,10870,932
933,10751,933
934,10565,934
935,10382,935
936,10984,936
937,10560,937
938,11099,938
939,11369,939
940,10761,940
941,10811,941
942,11565,942
943,11294,943
944,11781,944
945,12122,945
946,11653,946
947,11171,947
948,11060,948
949,11613,949
950,11450,950
951,10792,951
952,10875,952
953,12244,953
954,11118,954
955,11374,955
956,11010,956
957,11635,957
958,11823,958
959,13048,959
960,11543,960
961,11304,961
962,14501,962
963,11105,963
964,11548,964
965,11131,965
966,12188,966
967,11804,967
968,11284,968
969,11736,969
970,11724,970
971,11157,971
972,11700,972
973,11783,973
974,11428,974
975,12370,975
976,12055,976
977,11676,977
978,11190,978
979,12571,979
980,11290,980
981,11875,981
982,12048,982
983,12101,983
984,12248,984
985,12710,985
986,11716,986
987,11281,987
988,12075,988
989,11541,989
990,11489,990
991,11903,991
992,11828,992
993,12732,993
994,10724,994
995,11904,995
996,11695,996
997,11627,997
998,12616,998
999,12278,999
1000,12901,1000
