index,amount of compares,size of array
661,106379,661
662,106235,662
663,112741,663
664,110662,664
665,110287,665
666,112177,666
667,109575,667
668,107234,668
669,112812,669
670,108390,670
671,111643,671
672,107326,672
673,112650,673
674,112247,674
675,111618,675
676,114176,676
677,111460,677
678,109482,678
679,116438,679
680,115532,680
681,114924,681
682,114021,682
683,121529,683
684,116516,684
685,118869,685
686,122863,686
687,118220,687
688,111310,688
689,117845,689
690,121957,690
691,121571,691
692,116254,692
693,122838,693
694,124342,694
695,119344,695
696,125379,696
697,115570,697
698,120063,698
699,120050,699
700,127673,700
701,120574,701
702,128369,702
703,125663,703
704,125770,704
705,124069,705
706,125504,706
707,122563,707
708,122108,708
709,125244,709
710,128077,710
711,123653,711
712,122477,712
713,124069,713
714,131167,714
715,131999,715
716,128010,716
717,123103,717
718,128392,718
719,129345,719
720,130041,720
721,132057,721
722,131481,722
723,127643,723
724,131672,724
725,128936,725
726,133019,726
727,134468,727
728,131024,728
729,135079,729
730,133911,730
731,132976,731
732,134683,732
733,136610,733
734,130904,734
735,130352,735
736,133589,736
737,135067,737
738,136130,738
739,131545,739
740,134766,740
741,140475,741
742,142338,742
743,135275,743
744,140491,744
745,143304,745
746,135884,746
747,142109,747
748,143656,748
749,139814,749
750,141374,750
751,136612,751
752,145641,752
753,148068,753
754,141656,754
755,139937,755
756,147792,756
757,141449,757
758,143657,758
759,152372,759
760,146956,760
761,139527,761
762,146945,762
763,144943,763
764,144511,764
765,149736,765
766,148748,766
767,149047,767
768,138933,768
769,146468,769
770,145790,770
771,149102,771
772,147523,772
773,147710,773
774,148368,774
775,145713,775
776,146544,776
777,156889,777
778,147976,778
779,149349,779
780,148982,780
781,153741,781
782,154580,782
783,156901,783
784,154578,784
785,146844,785
786,149716,786
787,157024,787
788,153312,788
789,158265,789
790,150215,790
791,154863,791
792,154192,792
793,159644,793
794,159226,794
795,154976,795
796,160674,796
797,161959,797
798,160517,798
799,158801,799
800,158551,800
801,157453,801
802,156468,802
803,160933,803
804,165952,804
805,163655,805
806,166565,806
807,164668,807
808,160047,808
809,160594,809
810,152566,810
811,155228,811
812,159089,812
813,168932,813
814,165217,814
815,162450,815
816,168684,816
817,163535,817
818,165098,818
819,166202,819
820,170596,820
821,162780,821
822,163653,822
823,171876,823
824,169787,824
825,174396,825
826,167702,826
827,177370,827
828,171300,828
829,171468,829
830,175798,830
831,175549,831
832,173145,832
833,171779,833
834,174301,834
835,171116,835
836,170706,836
837,174072,837
838,173448,838
839,182585,839
840,178655,840
841,182620,841
842,179936,842
843,170482,843
844,179029,844
845,170037,845
846,178780,846
847,179622,847
848,181350,848
849,177135,849
850,179552,850
851,180833,851
852,181087,852
853,177650,853
854,184284,854
855,179174,855
856,185367,856
857,183411,857
858,179727,858
859,192337,859
860,176440,860
861,179812,861
862,184321,862
863,188204,863
864,182675,864
865,189496,865
866,199270,866
867,192184,867
868,192189,868
869,182656,869
870,192535,870
871,181788,871
872,185125,872
873,190894,873
874,187298,874
875,186649,875
876,194483,876
877,197780,877
878,191788,878
879,184984,879
880,187026,880
881,195471,881
882,196940,882
883,191011,883
884,195332,884
885,195187,885
886,201744,886
887,191422,887
888,192747,888
889,199112,889
890,211137,890
891,199146,891
892,197957,892
893,199711,893
894,202317,894
895,203527,895
896,202112,896
897,208254,897
898,204120,898
899,196361,899
900,204761,900
901,201511,901
902,207192,902
903,208457,903
904,198240,904
905,200967,905
906,199389,906
907,205030,907
908,208012,908
909,206184,909
910,212763,910
911,216636,911
912,216024,912
913,210734,913
914,217389,914
915,209425,915
916,217123,916
917,209497,917
918,206968,918
919,208852,919
920,209409,920
921,205386,921
922,211080,922
923,221165,923
924,206798,924
925,213953,925
926,208742,926
927,209625,927
928,215095,928
929,222288,929
930,212827,930
931,218492,931
932,215060,932
933,206947,933
934,219789,934
935,219075,935
936,213665,936
937,214038,937
938,218189,938
939,222106,939
940,223675,940
941,217907,941
942,224379,942
943,223091,943
944,220071,944
945,217666,945
946,230626,946
947,216685,947
948,232095,948
949,227034,949
950,227940,950
951,226395,951
952,223886,952
953,213674,953
954,229454,954
955,236347,955
956,233765,956
957,229663,957
958,226361,958
959,237597,959
960,226811,960
961,229494,961
962,235606,962
963,233288,963
964,229244,964
965,227841,965
966,230576,966
967,232445,967
968,226767,968
969,239086,969
970,237456,970
971,241488,971
972,237396,972
973,238540,973
974,239057,974
975,246325,975
976,236001,976
977,238930,977
978,242035,978
979,232454,979
980,238546,980
981,247886,981
982,239323,982
983,237248,983
984,243426,984
985,244000,985
986,238671,986
987,248108,987
988,245889,988
989,246428,989
990,247801,990
991,241805,991
992,251160,992
993,246425,993
994,240300,994
995,240669,995
996,244700,996
997,249201,997
998,256441,998
999,250522,999
1000,253842,1000
