index,amount of compares,size of array
945,446040,945
946,446985,946
947,447931,947
948,448878,948
949,449826,949
950,450775,950
951,451725,951
952,452676,952
953,453628,953
954,454581,954
955,455535,955
956,456490,956
957,457446,957
958,458403,958
959,459361,959
960,460320,960
961,461280,961
962,462241,962
963,463203,963
964,464166,964
965,465130,965
966,466095,966
967,467061,967
968,468028,968
969,468996,969
970,469965,970
971,470935,971
972,471906,972
973,472878,973
974,473851,974
975,474825,975
976,475800,976
977,476776,977
978,477753,978
979,478731,979
980,479710,980
981,480690,981
982,481671,982
983,482653,983
984,483636,984
985,484620,985
986,485605,986
987,486591,987
988,487578,988
989,488566,989
990,489555,990
991,490545,991
992,491536,992
993,492528,993
994,493521,994
995,494515,995
996,495510,996
997,496506,997
998,497503,998
999,498501,999
1000,499500,1000
